id,test,question,answer,category,answer_hindi,answer_marathi
14,13,Do I have to pay exam fees for regular and backlog separately?, No Regular and Backlog fees have to be paid together.Examination related queries (Applicable for Offline End Term Exam),Exam Form Issues,कोई नियमित और बैकलॉग शुल्क एक साथ भुगतान करने की आवश्यकता नहीं है। परीक्षा संबंधी प्रश्न (ऑफ़लाइन समाप्ति परीक्षा के लिए लागू),कोणतेही नियमित आणि अनुशेष शुल्क एकत्र भरावे लागणार नाही. परीक्षेशी संबंधित प्रश्न (ऑफलाइन अंतिम मुदतीच्या परीक्षेसाठी लागू)
15,14,How to fill an Examination form?," Select Exam, Course Year and Click on Show. Submit the application and take printout of your exam application form. Submit the print along with complete exam fees (regular + backlog as applicable) to student section. Save the receipt.",Examination related queries (Applicable for Offline End Term Exam),"परीक्षा, पाठ्यक्रम वर्ष का चयन करें और शो पर क्लिक करें। आवेदन जमा करें और अपने परीक्षा आवेदन पत्र का प्रिंटआउट लें। छात्र अनुभाग को पूर्ण परीक्षा शुल्क (नियमित + बैकलॉग जैसा लागू हो) के साथ प्रिंट जमा करें। रसीद सहेजें।","परीक्षा, अभ्यासक्रम वर्ष निवडा आणि शो वर क्लिक करा. अर्ज सबमिट करा आणि तुमच्या परीक्षा अर्जाची प्रिंटआउट घ्या. विद्यार्थी विभागात संपूर्ण परीक्षा शुल्कासह (नियमित + अनुशेष लागू) प्रिंटसह सबमिट करा. पावती जतन करा."
16,15,I have not got my hall ticket. What should I do?,Probable reasons1) Student has not filled exam form.2) Subject Mapping might not be done from Institute.3) Any other technical error.Contact Department of Examination for clarification.,Examination related queries (Applicable for Offline End Term Exam),संभावित कारण 1) छात्र ने परीक्षा फॉर्म नहीं भरा है। 2) विषय मानचित्रण संस्थान से नहीं किया जा सकता है। 3) कोई अन्य तकनीकी त्रुटि। स्पष्टीकरण के लिए परीक्षा विभाग से संपर्क करें।,संभाव्य कारणे 1) विद्यार्थ्याने परीक्षेचा फॉर्म भरला नाही. 2) विषयाचे मॅपिंग संस्थेकडून केले जाऊ शकत नाही. 3) इतर कोणत्याही तांत्रिक त्रुटी. स्पष्टीकरणासाठी परीक्षा विभागाशी संपर्क साधा.
17,16,I have lost my hall ticket. What is the process for obtaining a duplicate hall ticket ?,Fill the student assistance form and pay fine at Exam Department.,Examination related queries (Applicable for Offline End Term Exam),छात्र सहायता फॉर्म भरें और परीक्षा विभाग में जुर्माना अदा करें।,विद्यार्थी सहाय्य फॉर्म भरा आणि परीक्षा विभागात दंड भरा.
18,17,My photograph is not seen on hall ticket. What do I need to do?,Paste I-Card size photograph on hall ticket and get it duly attested from Department of Examination.,Examination related queries (Applicable for Offline End Term Exam),हॉल टिकट पर आई-कार्ड साइज फोटो चिपकाएं और इसे परीक्षा विभाग से विधिवत सत्यापित करवाएं।,हॉल तिकिटावर आय-कार्ड आकाराचे छायाचित्र चिकटवा आणि ते परीक्षा विभागाकडून प्रमाणित करून घ्या.
19,18,"The course for which I have to appear for, is not seen in the hall ticket. Please tell what should be doneâ€",Contact Examination Department for clarification.Result related queries,Examination related queries (Applicable for Offline End Term Exam),स्पष्टीकरण के लिए परीक्षा विभाग से संपर्क करें। परिणाम संबंधी प्रश्न,स्पष्टीकरणासाठी परीक्षा विभागाशी संपर्क साधा. निकाल संबंधित प्रश्न
20,19,My result is not visible on ERP. It says Result is withheld. Contact Examination Department. What is the reason?," This message occurs because your result is withheld due to non-submission of eligibility documents, outstanding fees, etc. You need to contact student section for further clarification.",Result related queries,"यह संदेश इसलिए आता है क्योंकि पात्रता दस्तावेज, बकाया शुल्क आदि जमा न करने के कारण आपका परिणाम रोक दिया गया है। आपको अधिक स्पष्टीकरण के लिए छात्र अनुभाग से संपर्क करने की आवश्यकता है।","हा मेसेज येतो कारण तुमचा निकाल पात्रता दस्तऐवज, थकबाकी फी इत्यादी सादर न केल्यामुळे रोखला गेला आहे. तुम्हाला पुढील स्पष्टीकरणासाठी विद्यार्थी विभागाशी संपर्क साधण्याची आवश्यकता आहे."
21,20,"I have paid my instalment. Yet, why is my result withheld?",Your result may be withheld for any administrative issue. Contact student section for clarification.,Result related queries,किसी भी प्रशासनिक मुद्दे के लिए आपका परिणाम रोका जा सकता है। स्पष्टीकरण के लिए छात्र अनुभाग से संपर्क करें।,तुमचा निकाल कोणत्याही प्रशासकीय समस्येसाठी रोखला जाऊ शकतो. स्पष्टीकरणासाठी विद्यार्थी विभागाशी संपर्क साधा.
22,21,When will I get my result in ERP?,Your result will be seen in ERP only after a release order is received from the student section.,Result related queries,छात्र अनुभाग से जारी आदेश प्राप्त होने के बाद ही आपका परिणाम ईआरपी में देखा जाएगा।,विद्यार्थी विभागाकडून रिलीझ ऑर्डर मिळाल्यानंतरच तुमचा निकाल ERP मध्ये दिसेल.
23,22,I received my result and have been given Grade F in a subject. How can I know the external marks obtained in the subject?,Mail your query to exam.helpdesk@mitwpu.edu.in and attach screenshot of result.,Result related queries,अपनी क्वेरी exam.helpdesk@mitwpu.edu.in पर मेल करें और परिणाम का स्क्रीनशॉट संलग्न करें।,तुमची क्वेरी exam.helpdesk@mitwpu.edu.in वर मेल करा आणि निकालाचा स्क्रीनशॉट संलग्न करा.
24,23,I want to give my paper for re-checking/revaluation. What is the procedure?,There is no rechecking/revaluation for online exams.,Rechecking and Revaluation (Applicable for Offline End-Term Exams),ऑनलाइन परीक्षा के लिए कोई रीचेकिंग / पुनर्मूल्यांकन नहीं है।,ऑनलाइन परीक्षांसाठी कोणतेही पुनर्तपासणी/पुनर्मूल्यांकन नाही.
25,24,How can I know my internal and external marks obtained in a particular subject?," Mail your query details to exam.helpdesk@mitwpu.edu.in for knowing the external marks in the mentioned subject. For your internal marks, contact subject teacher.Rechecking and Revaluation (Applicable for Offline End-Term Exams)",Result related queries,"उल्लिखित विषय में बाहरी अंक जानने के लिए अपना प्रश्न विवरण exam.helpdesk@mitwpu.edu.in पर मेल करें। अपने आंतरिक अंकों के लिए, विषय शिक्षक से संपर्क करें। पुन: जाँच और पुनर्मूल्यांकन (ऑफ़लाइन समाप्ति परीक्षा के लिए लागू)","नमूद केलेल्या विषयातील बाह्य गुण जाणून घेण्यासाठी तुमची क्वेरी तपशील exam.helpdesk@mitwpu.edu.in वर मेल करा. तुमच्या अंतर्गत गुणांसाठी, विषय शिक्षकांशी संपर्क साधा. पुनर्तपासणी आणि पुनर्मूल्यांकन (ऑफलाइन अंतिम मुदतीच्या परीक्षांसाठी लागू)"
26,25,What is the procedure to obtain a photocopy of answer booklet?,Pay the required fee at Department of Examination and fill student assistance form. Photocopy will be made available within two days when revaluation dates are declared.,Rechecking and Revaluation (Applicable for Offline End-Term Exams),परीक्षा विभाग में आवश्यक शुल्क का भुगतान करें और छात्र सहायता फॉर्म भरें। पुनर्मूल्यांकन की तारीख घोषित होने के दो दिनों के भीतर फोटोकॉपी उपलब्ध करा दी जाएगी।,परीक्षा विभागात आवश्यक शुल्क भरा आणि विद्यार्थी सहाय्य फॉर्म भरा. पुनर्मूल्यांकनाच्या तारखा घोषित केल्यावर दोन दिवसांत फोटोकॉपी उपलब्ध करून दिली जाईल.
27,26,What is the process of revaluation ? How to upload the form and pay fees?," In student module, Click on University examination. Select application form and enter necessary information. Take printout of your application form and payment done and submit it to student section.",Rechecking and Revaluation (Applicable for Offline End-Term Exams),"छात्र मॉड्यूल में, विश्वविद्यालय परीक्षा पर क्लिक करें। आवेदन पत्र का चयन करें और आवश्यक जानकारी दर्ज करें। अपने आवेदन पत्र और भुगतान का प्रिंटआउट लें और इसे छात्र अनुभाग में जमा करें।","विद्यार्थी मॉड्यूलमध्ये, विद्यापीठ परीक्षेवर क्लिक करा. अर्ज निवडा आणि आवश्यक माहिती प्रविष्ट करा. तुमच्या अर्जाची प्रिंटआउट घ्या आणि पेमेंट पूर्ण करा आणि ते विद्यार्थी विभागात सबमिट करा."
28,27,How to apply for revaluation and retotalling?," In student module, select University Examination, click on application, Mention exam typeand exam.",Rechecking and Revaluation (Applicable for Offline End-Term Exams),"छात्र मॉड्यूल में, विश्वविद्यालय परीक्षा का चयन करें, आवेदन पर क्लिक करें, परीक्षा के प्रकार और परीक्षा का उल्लेख करें।","विद्यार्थी मॉड्यूलमध्ये, विद्यापीठ परीक्षा निवडा, अर्जावर क्लिक करा, परीक्षेचा प्रकार आणि परीक्षेचा उल्लेख करा."
29,28,Where should I submit the revaluation fee?,Fees to be paid online in ERP.,Rechecking and Revaluation (Applicable for Offline End-Term Exams),फीस का भुगतान ईआरपी में ऑनलाइन करना होगा।,शुल्क ईआरपीमध्ये ऑनलाइन भरावे लागेल.
30,29,When will the revaluation results be declared?,Revaluation result will be declared after 12 Days from application of revaluation.,Rechecking and Revaluation (Applicable for Offline End-Term Exams),पुनर्मूल्यांकन के आवेदन के 12 दिनों के बाद पुनर्मूल्यांकन परिणाम घोषित किया जाएगा।,पुनर्मूल्यांकनाचा निकाल पुनर्मूल्यांकन अर्ज केल्यापासून १२ दिवसांनी घोषित केला जाईल.
31,30,"I have already paid the revaluation fees. But in ERP, it is seen as outstanding. What is the reason?",The amount must have been deducted against any other outstanding fee. Contact student section for clarification.,Rechecking and Revaluation (Applicable for Offline End-Term Exams),किसी अन्य बकाया शुल्क के खिलाफ राशि काटा जाना चाहिए। स्पष्टीकरण के लिए छात्र अनुभाग से संपर्क करें।,ही रक्कम इतर कोणत्याही थकबाकी शुल्कापोटी कापली गेली असावी. स्पष्टीकरणासाठी विद्यार्थी विभागाशी संपर्क साधा.
32,31,I have to apply for revaluation but subject is not seen in re-evaluation list. What could be the reason?," Either the student was absent for that particular subject or result is withheld from student section, hence subject shall not be seen in the revaluation list.",Rechecking and Revaluation (Applicable for Offline End-Term Exams),"या तो छात्र उस विशेष विषय के लिए अनुपस्थित था या छात्र अनुभाग से परिणाम रोक दिया गया है, इसलिए विषय पुनर्मूल्यांकन सूची में नहीं देखा जाएगा।","एकतर विद्यार्थी त्या विशिष्ट विषयासाठी गैरहजर होता किंवा निकाल विद्यार्थी विभागातून रोखला गेला आहे, त्यामुळे पुनर्मूल्यांकन यादीमध्ये विषय पाहिला जाणार नाही."
33,32,Why is it that the payment done for revaluation not being reflected on my ERP payment section?,Contact student section for clarification,Rechecking and Revaluation (Applicable for Offline End-Term Exams),स्पष्टीकरण के लिए छात्र अनुभाग से संपर्क करें,स्पष्टीकरणासाठी विद्यार्थी विभागाशी संपर्क साधा
34,33,How do I apply for Provisional Degree Certificate?,You don't have to apply separately for a Provisional Degree Certificate. It will be issued after you have successfully completed your course.,Provisional Degree Certificate,आपको अनंतिम डिग्री प्रमाणपत्र के लिए अलग से आवेदन करने की आवश्यकता नहीं है। यह आपके द्वारा सफलतापूर्वक अपना पाठ्यक्रम पूरा करने के बाद जारी किया जाएगा।,तात्पुरत्या पदवी प्रमाणपत्रासाठी तुम्हाला स्वतंत्रपणे अर्ज करण्याची गरज नाही. तुम्ही तुमचा अभ्यासक्रम यशस्वीपणे पूर्ण केल्यानंतर ते जारी केले जाईल.
35,34,From where and when should I collect the Provisional Degree Certificate?,Provisional Degree Certificate will be given from the student section after 15 days from date of declaration of your final trimester result.Duplicate Grade Card,Provisional Degree Certificate,आपके अंतिम तिमाही परिणाम की घोषणा की तारीख से 15 दिनों के बाद छात्र वर्ग से अनंतिम डिग्री प्रमाणपत्र दिया जाएगा। डुप्लीकेट ग्रेड कार्ड,तात्पुरती पदवी प्रमाणपत्र तुमचा अंतिम त्रैमासिक निकाल जाहीर झाल्यापासून १५ दिवसांनी विद्यार्थी विभागाकडून दिला जाईल. डुप्लिकेट ग्रेड कार्ड
36,35,I have lost my grade card? Can I get another copy of grade card?," Grade card is issued only once. In case, you have lost your grade card, you can apply for a duplicate grade card only.",Duplicate Grade Card,"ग्रेड कार्ड केवल एक बार जारी किया जाता है। यदि आपने अपना ग्रेड कार्ड खो दिया है, तो आप केवल डुप्लीकेट ग्रेड कार्ड के लिए आवेदन कर सकते हैं।",ग्रेड कार्ड एकदाच दिले जाते. जर तुमचे ग्रेड कार्ड हरवले असेल तर तुम्ही फक्त डुप्लिकेट ग्रेड कार्डसाठी अर्ज करू शकता.
37,36,How do I apply for a duplicate grade card?," You have to fill and submit application form for issuing of duplicate grade card which is available on the website(https://mitwpu.edu.in/images/documents/Application-for-Issue-of- Duplicate-Grade-Card.pdf) along with the necessary documents mentioned in the form, in original, as well as the receipt of payment.",Duplicate Grade Card,"आपको वेबसाइट पर उपलब्ध डुप्लीकेट ग्रेड कार्ड जारी करने के लिए आवेदन पत्र भरना और जमा करना होगा (https://mitwpu.edu.in/images/documents/Application-for-Issue-of- Duplicate-Grade-Card.pdf ) फॉर्म में उल्लिखित आवश्यक दस्तावेजों के साथ, मूल रूप में, साथ ही भुगतान की रसीद।","तुम्हाला डुप्लिकेट ग्रेड कार्ड जारी करण्यासाठी अर्ज भरावा लागेल आणि सबमिट करावा लागेल जो वेबसाइटवर उपलब्ध आहे (https://mitwpu.edu.in/images/documents/Application-for-Issue-of- Duplicate-Grade-Card.pdf ) फॉर्ममध्ये नमूद केलेल्या आवश्यक कागदपत्रांसह, मूळ, तसेच देयक पावती."
38,37,What documents are required while applying for the duplicate grade card?," FIR copy, Affidavit on Rs.100/- stamp paper giving details and receipt of fee for duplicategrade card.",Duplicate Grade Card,"एफआईआर की प्रति, 100/- रुपये के स्टांप पेपर पर शपथ पत्र जिसमें डुप्लीकेट ग्रेड कार्ड के लिए विवरण और शुल्क की रसीद दी गई है।","एफआयआर प्रत, प्रतिज्ञापत्र रु. 100/- स्टॅम्प पेपरवर तपशील आणि डुप्लिकेटग्रेड कार्डसाठी शुल्काची पावती."
39,38,What are the charges for obtaining a duplicate grade card?,Fee of Rs.500/- + Rs. 100/- per trimester grade card.,Duplicate Grade Card,500/- का शुल्क + रु. 100/- प्रति तिमाही ग्रेड कार्ड।,फी रु. ५००/- + रु. 100/- प्रति तिमाही ग्रेड कार्ड.
40,39,What is the mode of payment for Duplicate grade card?,You  must  pay  online.  Payment  details  are  mentioned  on  website (https://mitwpu.edu.in/examination).   Send   the   screenshot   of   payment   to exam.helpdesk@mitwpu.edu.in.,Duplicate Grade Card,आपको ऑनलाइन भुगतान करना होगा। भुगतान विवरण वेबसाइट (https://mitwpu.edu.in/examination) पर उल्लिखित हैं। भुगतान का स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in पर भेजें।,तुम्हाला ऑनलाइन पेमेंट करावे लागेल. पेमेंट तपशील वेबसाइटवर नमूद केले आहेत (https://mitwpu.edu.in/examination). पेमेंटचा स्क्रीनशॉट exam.helpdesk@mitwpu.edu.in वर पाठवा.
41,40,When and how will I receive the duplicate grade card?,You will have to collect it from Department of Examination after 15 days of application.,Duplicate Grade Card,आवेदन के 15 दिन बाद आपको इसे परीक्षा विभाग से लेना होगा।,अर्ज केल्यानंतर १५ दिवसांनी तुम्हाला ते परीक्षा विभागाकडून गोळा करावे लागेल.
42,41,"If I find the original document after I obtain the duplicate, can I use the originalone?"," Once you have obtained a duplicate in place of a lost document, always use the duplicate document. If the original document is found, return it to WPU. Do not use thefound original document after it has been replaced by a duplicate because of the following reasons:1) When a document is replaced by a duplicate, the original is marked as lost in the WPU database. The data of the duplicate document is entered into the database. 2) If a document that is marked as lost is sent to WPU for verification, it will be reported as lost and therefore not genuine.Consolidated Grade Card",Duplicate Grade Card,"एक बार जब आप खोए हुए दस्तावेज़ के स्थान पर डुप्लीकेट प्राप्त कर लेते हैं, तो हमेशा डुप्लीकेट दस्तावेज़ का उपयोग करें। यदि मूल दस्तावेज़ मिल जाता है, तो उसे WPU को लौटा दें। निम्नलिखित कारणों से डुप्लिकेट द्वारा प्रतिस्थापित किए जाने के बाद पाए गए मूल दस्तावेज़ का उपयोग न करें: 1) जब किसी दस्तावेज़ को डुप्लिकेट द्वारा प्रतिस्थापित किया जाता है, तो मूल को WPU डेटाबेस में खो जाने के रूप में चिह्नित किया जाता है। डुप्लिकेट दस्तावेज़ का डेटा डेटाबेस में दर्ज किया गया है। 2) यदि कोई दस्तावेज़ जिसे खोया हुआ के रूप में चिह्नित किया गया है, सत्यापन के लिए WPU को भेजा जाता है, तो इसे खो जाने के रूप में रिपोर्ट किया जाएगा और इसलिए वास्तविक नहीं है। समेकित ग्रेड कार्ड","एकदा हरवलेल्या दस्तऐवजाच्या जागी तुम्हाला डुप्लिकेट मिळाले की, नेहमी डुप्लिकेट दस्तऐवज वापरा. मूळ दस्तऐवज आढळल्यास, ते WPU वर परत करा. खालील कारणांमुळे डुप्लिकेटने बदलल्यानंतर सापडलेला मूळ दस्तऐवज वापरू नका: 1) जेव्हा एखादा दस्तऐवज डुप्लिकेटने बदलला जातो, तेव्हा मूळ दस्तऐवज WPU डेटाबेसमध्ये हरवला म्हणून चिन्हांकित केला जातो. डुप्लिकेट दस्तऐवजाचा डेटा डेटाबेसमध्ये प्रविष्ट केला जातो. 2) हरवले म्हणून चिन्हांकित केलेले दस्तऐवज WPU कडे पडताळणीसाठी पाठवले असल्यास, ते हरवले म्हणून नोंदवले जाईल आणि म्हणून अस्सल नाही. एकत्रित ग्रेड कार्ड"
43,42,Can I get backlog and regular result on a single grade card?," Yes, you can apply for a consolidated grade card.",Consolidated grade card,"हां, आप समेकित ग्रेड कार्ड के लिए आवेदन कर सकते हैं।","होय, तुम्ही एकत्रित ग्रेड कार्डसाठी अर्ज करू शकता."
